name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err
2MASSI J0409095+210439,2MASSI J0409095+210439,62.2897,21.0775,1700,1.19,5.5,-3.97,0.04
Hya03,2MASS J04102390+1459104,62.5996,14.9862,1800,1.57,5.5,-3.63,0.06
WISEPA J041054.48+141131.6,WISE J041054.48+141131.1,62.7269,14.1924,1000,0.85,5.0,-5.2,0.14
PSO J063.1519-02.8904,Null,63.1516,-2.8903,1900,1.28,5.5,-3.73,0.07
2MASSI J0415195-093506,2MASSI J0415195-093506,63.8324,-9.5851,800,0.65,4.5,-5.81,0.06
2MASS J04174743-2129191,2MASS J04174743-2129191,64.4477,-21.4886,2400,1.18,3.5,-3.38,0.02
2MASS J04203904+2355502,2MASS J04203904+2355502,65.1626,23.9306,1800,1.57,5.5,-3.62,0.03
2MASS J04270723+0859027,2MASS J04270723+0859027,66.7802,8.9841,2400,1.16,3.5,-3.41,0.02
DENIS-P J04272708-1127143,2MASS J04272708-1127143,66.8629,-11.454,2600,1.31,4.0,-3.15,0.02
CFHT-Hy-20,Cl* Melotte   25   CFHT      20,67.6613,13.1658,1300,0.83,5.5,-4.75,0.06
2MASS J04305157-0849007,2MASS J04305157-0849007,67.7149,-8.8169,2500,1.53,4.5,-3.09,0.02
Cl* Melotte 25 DKJ 14784e,2MASS J04332279+1223507,68.345,12.3974,1800,2.37,5.5,-3.28,0.05
Hya12,2MASS J04354290+1323449,68.9288,13.3959,1800,0.89,5.0,-4.13,0.22
2MASS J04362054-4218523,2MASS J04362054-4218523,69.0856,-42.3145,1800,2.06,5.5,-3.38,0.04
2MASS J04362788-4114465,2MASS J04362788-4114465,69.1162,-41.2462,2500,1.74,4.0,-2.97,0.02
PSO J069.4987+19.6346,Gaia DR3 3410602846507601920,69.4987,19.6348,2500,2.26,3.5,-2.74,0.03
2MASSI J0439010-235308,2MASS J04390101-2353083,69.7542,-23.8857,1700,0.76,5.5,-4.37,0.03
Hya04,2MASS J04421852+1754378,70.5772,17.9105,1800,1.62,5.5,-3.59,0.05
2MASSI J0443058-320209,2MASS J04430581-3202090,70.7743,-32.0358,1800,0.7,5.5,-4.33,0.02
2MASS J04433761+0002051,2MASSI J0443376+000205,70.9067,0.0348,1800,2.49,5.5,-3.22,0.02
2MASS J04441479+0543573,2MASS J04441479+0543573,71.0616,5.7326,2500,1.48,4.0,-3.11,0.02
PSO J071.4708+36.4930,2MASS J04455300+3629369,71.4707,36.4934,1700,0.7,5.5,-4.46,0.13
2MASSI J0445538-304820,2MASS J04455387-3048204,71.4746,-30.8057,1800,1.3,5.5,-3.79,0.02
WISE J044633.45-242956.8,2MASS J04463362-2430014,71.6399,-24.5002,1900,0.58,5.5,-4.42,0.13
Hya09,2MASS J04463535+1451261,71.6473,14.8572,1700,1.12,5.5,-4.04,0.07
PSO J071.8769-12.2713,2MASS J04473039-1216155,71.8767,-12.271,1400,1.14,5.5,-4.36,0.16
2MASS J04474307-1936045,2MASS J04474307-1936045,71.9295,-19.6013,1800,1.35,5.0,-3.78,0.21
WISEPA J044853.29-193548.5,WISE J044853.28-193548.6,72.2194,-19.5987,1000,0.7,5.5,-5.37,0.07
2MASSI J0451009-340214,2MASS J04510093-3402150,72.7539,-34.0375,1800,1.56,5.5,-3.63,0.02
2MASSI J0453264-175154,2MASS J04532647-1751543,73.3603,-17.8651,1800,1.18,5.5,-3.88,0.03
WISEPA J050003.05-122343.2,WISEP J050003.05-122343.2,75.0146,-12.397,600,0.98,5.5,-5.95,0.15
2MASS J05002100+0330501,2MASS J05002100+0330501,75.0875,3.5139,1800,0.99,5.0,-4.03,0.02
