name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
WISE J203042.79+074934.7,2MASS J20304235+0749358,307.6764,7.8266,1218,97,1.07,0.17,27.7,22.17,4.8,0.48
PSO J307.7981-06.6854,Null,307.798,-6.6852,2140,132,1.34,0.14,32.36,13.83,4.67,0.27
2MASS J20343769+0827009,2MASS J20343769+0827009,308.657,8.4503,1786,88,1.42,0.14,17.52,11.9,4.35,0.27
PSO J308.9834-09.7312,PSO J308.9834-09.7312,308.9834,-9.7313,1661,165,1.05,0.2,53.67,24.28,5.1,0.45
2MASS J20414283-3506442,2MASSI J2041428-350644,310.4285,-35.1123,1894,96,1.43,0.14,19.16,12.46,4.38,0.28
SDSS J204317.69-155103.4,2MASS J20431769-1551031,310.8237,-15.8509,1503,150,1.05,0.19,45.59,24.6,5.02,0.47
SDSS J204749.61-071818.3,SDSS J204749.59-071818.2,311.9567,-7.305,1241,109,1.07,0.17,29.91,22.89,4.84,0.49
2MASS J20491972-1944324,SIPS J2049-1944,312.3323,-19.7424,2677,220,1.18,0.19,93.55,28.25,5.25,0.37
PSO J313.1067+32.9117,Null,313.1064,32.9119,1892,110,1.3,0.13,25.71,11.04,4.6,0.26
PSO J313.1577-26.0050,PSO J313.1577-26.0050,313.1571,-26.005,2229,204,1.03,0.18,69.55,24.59,5.24,0.38
2MASSI J2054358+151904,2MASSI J2054358+151904,313.6493,15.3178,2189,201,1.02,0.18,68.1,24.26,5.23,0.38
