NAME,RA,DEC,LIT_SPT,Discovery Ref.,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
SDSS J164451.75+310352.8,251.216,31.065,esdM8,Lépine et al. 2008,,,,,,,,,,,,,
Gl 644 C,253.897,-8.395,sdM7,Bardalez Gagliuffi et al. 2019,2989.000,,0.000,Marfil et al. 2021,,,,,,,,,
SDSS J165850.26+182000.6,254.710,18.333,sdL1,West et al. 2008,,,,,,,,,,,,,
GJ 660.1B,258.213,-5.124,sdM7,Aganze et al. 2016,2550.000,,,Aganze et al. 2016,,,,,,,,,
2MASS J17561080+2815238,269.045,28.257,sdL1,Kirkpatrick et al. 2010,,,,,,,,,,,,,
WISEA J181006.18−101000.5,272.526,-10.167,esdT0,Schneider et al. 2020,800.000,5.000,-1.500,Kirkpatrick et al. 2021,,,,,,,,,
2MASS J18201045+2021263,275.044,20.357,sdM8.5,Greco et al. 2019,,,,,3118.619,3110.958,3128.917,4.988,4.964,5.008,-1.005,-1.021,-0.958
LSR J1826+3014,276.546,30.239,sdL0,Lépine et al. 2002,,,,,,,,,,,,,
2MASS J18353790+3259545,278.908,32.998,sdM8,Berger et al. 2006,2400.000,5.000,,Rajpurohit et al. 2018,,,,,,,,,
2MASS J18355309-3217129,278.971,-32.287,sdM7,Kirkpatrick et al. 2010,,,,,,,,,,,,,
V* V492 Lyr,280.842,40.673,sdM7,Kirkpatrick et al. 2016,2709.000,,-0.040,Rojas-Ayala et al. 2012,,,,,,,,,
SSSPM J1930-4311,292.421,-43.177,sdM7,Luhman et al. 2014a,,,,,2989.210,2978.536,3014.890,5.315,5.270,5.329,-1.055,-1.096,-0.903
WISE J194128.98−342335.8,295.370,-34.392,sdM8,Luhman et al. 2014b,,,,,,,,,,,,,
PM J19418-0208,295.471,-2.146,sdM8,Kirkpatrick et al. 2016,,,,,,,,,,,,,
WISE J200520.38+542433.9,301.335,54.409,sdT8,Mace et al. 2013,,,,,,,,,,,,,
2MASS J20115649-6201127,302.985,-62.020,sdM8,Marocco et al. 2013,,,,,,,,,,,,,
LSPM J2036+5100,309.090,51.001,sdM7.5,Lépine et al. 2003,,,,,,,,,,,,,
2MASS J20402401+6959057,310.100,69.985,esdL0.5,Kirkpatrick et al. 2016,,,,,,,,,,,,,
2MASS J21340795+7132312,323.534,71.542,usdL0.5,Kirkpatrick et al. 2016,,,,,,,,,,,,,
CWISE J221706.28−145437.6,334.276,-14.910,esdT0,Meisner et al. 2021,,,,,,,,,,,,,
ULAS J223302.03+062030.8,338.258,6.342,esdL0.5,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J223440.80+001002.6,338.670,0.167,sdL1,Zhang et al. 2018c,,,,,,,,,,,,,
2MASS J22590210+1156035,344.759,11.934,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J230256.53+121310.2,345.736,12.220,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J230443.30+093423.9,346.180,9.573,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J230711.01+014447.1,346.796,1.746,usdL4.5,Zhang et al. 2018b,,,,,,,,,,,,,
ULAS J231924.35+052524.5,349.851,5.423,esdL1,Zhang et al. 2018c,,,,,,,,,,,,,
LSPM J2331+4607N,352.825,46.125,sdM7,Lépine et al. 2005,,,,,,,,,,,,,
2MASS J23470713+0219127,356.780,2.320,sdM7,Schneider et al. 2016,,,,,,,,,,,,,
WISE J235408.36+551854.5,358.529,55.317,sdM8,Luhman et al. 2014b,,,,,,,,,,,,,
