code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Diet14,2014AJ....147...94D,Dieterich:2014ic,Dieterich et al. (2014),The Solar Neighborhood. XXXII. The Hydrogen Burning Limit
Ditt14a,2014ApJ...784..156D,Dittmann:2014cr,Dittmann et al. (2014a),Trigonometric Parallaxes for 1507 Nearby Mid-to-late M Dwarfs
Dobb02a,2002MNRAS.329..543D,Dobbie:2002dr,Dobbie et al. (2002a),A deep large-area search for very low-mass members of the Hyades open cluster
Duco08,2008A&A...477L...1D,Ducourant:2008cw,Ducourant et al. (2008),An accurate distance to 2M1207Ab
Duco14,2014A&A...563A.121D,Ducourant:2014kl,Ducourant et al. (2014),The TW Hydrae association: trigonometric parallaxes and kinematic analysis
Duco17,2017A&A...597A..90D,Ducourant:2017fl,Ducourant et al. (2017),Proper motion survey and kinematic analysis of the ρ Ophiuchi embedded cluster
Dupu09a,2009ApJ...692..729D,Dupuy:2009jq,Dupuy Liu & Ireland (2009a),Dynamical Mass of the Substellar Benchmark Binary HD 130948BC
Dupu09b,2009ApJ...699..168D,Dupuy:2009ga,Dupuy Liu & Ireland (2009b),Keck Laser Guide Star Adaptive Optics Monitoring of the M8+L7 Binary LHS 2397aAB: First Dynamical Mass Benchmark at the L/T Transition
Dupu09d,2009ApJ...706..328D,Dupuy:2009jb,Dupuy Liu & Bowler (2009),Dynamical Mass of the M8+M8 Binary 2MASS J22062280 - 2047058AB
Dupu10,2010ApJ...721.1725D,Dupuy:2010ch,Dupuy et al. (2010),Studying the Physical Diversity of Late-M Dwarfs with Dynamical Masses
Dupu12,2012ApJS..201...19D,Dupuy:2012bp,Dupuy & Liu (2012),The Hawaii Infrared Parallax Program. I. Ultracool Binaries and the L/T Transition
Dupu13b,2013Sci...341.1492D,Dupuy:2013ks,Dupuy & Kraus (2013),"Distances, Luminosities, and Temperatures of the Coldest Known Substellar Objects"
Dupu14,2014ApJ...790..133D,Dupuy:2014iz,Dupuy Liu & Ireland (2014),New Evidence for a Substellar Luminosity Problem: Dynamical Mass for the Brown Dwarf Binary Gl 417BC
Dupu15a,2015ApJ...803..102D,Dupuy:2015dz,Dupuy Liu & Leggett (2015),"Discovery of a Low-luminosity, Tight Substellar Binary at the T/Y Transition"
Dupu15b,2015ApJ...805...56D,Dupuy:2015gl,Dupuy et al. (2015),The Mass-Luminosity Relation in the L/T Transition: Individual Dynamical Masses for the New J-band Flux Reversal Binary SDSSJ105213.51+442255.7AB
Dupu16b,2016ApJ...827...23D,Dupuy:2016bg,Dupuy et al. (2016b),High-precision Radio and Infrared Astrometry of LSPM J1314+1320AB. II. Testing Pre-main-sequence Models at the Lithium Depletion Boundary with Dynamical Masses
Dupu17,2017ApJS..231...15D,Dupuy:2017ke,Dupuy & Liu (2017),Individual Dynamical Masses of Ultracool Dwarfs
Dupu18,2018AJ....156...57D,Dupuy:2018hi,Dupuy et al. (2018),The Hawaii Infrared Parallax Program. III. 2MASS J0249-0557 c: A Wide Planetary-mass Companion to a Low-mass Binary in the {ensuremath{beta}} Pic Moving Group
Dupu19,2019AJ....158..174D,Dupuy:2019tn,Dupuy et al. (2019b),WISE J072003.20-084651.2B is a Massive T Dwarf
Dupu20,2020RNAAS...4...54D,Dupuy:2020kb,Dupuy et al. (2020),The Parallax of VHS J1256-1257 from CFHT and Pan-STARRS1
Dye_18,2018MNRAS.473.5113D,Dye:2018jo,Dye et al. (2018),The UKIRT Hemisphere Survey: definition and J-band data release
Edge16,2016yCat.2343....0E,Edge:2016vk,Edge et al. (2016),"VizieR Online Data Catalog: VIKING catalogue data release 2 (Edge+, 2016)"
Elli05,2005AJ....130.2347E,Ellis:2005hw,Ellis et al. (2005),The 2MASS Wide-Field T Dwarf Search. V. Discovery of a T Dwarf via Methane Imaging
Erik20,2020A&A...638L...6E,Eriksson:2020wb,Eriksson et al. (2020),Strong H-alpha emission and signs of accretion in a circumbinary planetary mass companion from MUSE
Eros99c,1999A&A...351L...5E,EROSCollaboration:1999uj,EROS Collaboration et al. (1999c),"EROS 2 proper motion survey: a field brown dwarf, and an L dwarf companion to LHS 102"
Espl17a,2017AJ....154...46E,Esplin:2017il,Esplin et al. (2017),A Survey for Planetary-mass Brown Dwarfs in the Chamaeleon I Star-forming Region
Espl17b,2017AJ....154..134E,Esplin:2017iw,Esplin & Luhman (2017),A Survey for Planetary-mass Brown Dwarfs in the Taurus and Perseus Star-forming Regions
Espo13,2013A&A...549A..52E,Esposito:2013hs,Esposito et al. (2013),LBT observations of the HR 8799 planetary system. First detection of HR 8799e in H band
Fahe09,2009AJ....137....1F,Faherty:2009kg,Faherty et al. (2009),"The Brown Dwarf Kinematics Project I. Proper Motions and Tangential Velocities for a Large Sample of Late-Type M, L, and T Dwarfs"
Fahe10,2010AJ....139..176F,Faherty:2010gt,Faherty et al. (2010),The Brown Dwarf Kinematics Project. II. Details on Nine Wide Common Proper Motion Very Low Mass Companions to Nearby Stars
Fahe12,2012ApJ...752...56F,Faherty:2012cy,Faherty et al. (2012),The Brown Dwarf Kinematics Project (BDKP). III. Parallaxes for 70 Ultracool Dwarfs
Fahe13,2013AJ....145....2F,Faherty:2013bc,Faherty et al. (2013),"2MASS J035523.37+113343.7: A Young, Dusty, Nearby, Isolated Brown Dwarf Resembling a Giant Exoplanet"
Fahe14b,2014ApJ...790...90F,Faherty:2014iy,Faherty et al. (2014b),"Signatures of Cloud, Temperature, and Gravity from Spectra of the Closest Brown Dwarfs"
Fahe14c,2014ApJ...793L..16F,Faherty:2014dr,Faherty et al. (2014c),Indications of Water Clouds in the Coldest Known Brown Dwarf
Fahe16,2016ApJS..225...10F,Faherty:2016fx,Faherty et al. (2016),Population Properties of Brown Dwarf Analogs to Exoplanets
Fan_00b,2000AJ....119..928F,Fan:2000iu,Fan et al. (2000b),L Dwarfs Found in Sloan Digital Sky Survey Commissioning Imaging Data
Finc16,2016AJ....151..160F,Finch:2016hw,Finch et al. (2016),Parallax Results from URAT Epoch Data
Folk07,2007MNRAS.378..901F,Folkes:2007gd,Folkes et al. (2007),Discovery of a nearby L-T transition object in the Southern Galactic plane
Folk12,2012MNRAS.427.3280F,Folkes:2012ep,Folkes et al. (2012),Identifying ultra-cool dwarfs at low Galactic latitudes: a southern candidate catalogue
Forb16,2016ApJ...827...22F,Forbrich:2016ek,Forbrich et al. (2016),"High-precision Radio and Infrared Astrometry of LSPM J1314+1320AB. I. Parallax, Proper Motions, and Limits on Planets"
Forv04,2004A&A...427L...1F,Forveille:2004es,Forveille et al. (2004),"An L0 dwarf companion in the brown dwarf desert, at 30 AU"
Forv05,2005A&A...435L...5F,Forveille:2005ee,Forveille et al. (2005),LP 349-25: A new tight M8V binary
Free03,2003ApJ...584..453F,Freed:2003js,Freed Close & Siegler (2003),Discovery of a Tight Brown Dwarf Companion to theLow-Mass Star LHS 2397a
Gagn14a,2014ApJ...783..121G,Gagne:2014gp,Gagné et al. (2014a),"BANYAN. II. Very Low Mass and Substellar Candidate Members to Nearby, Young Kinematic Groups with Previously Known Signs of Youth"
Gagn14b,2014ApJ...785L..14G,Gagne:2014el,Gagné et al. (2014b),The Coolest Isolated Brown Dwarf Candidate Member of TWA
Gagn14c,2014ApJ...792L..17G,Gagne:2014dt,Gagné et al. (2014c),SIMP J2154-1055: A New Low-gravity L4{ensuremath{beta}} Brown Dwarf Candidate Member of the Argus Association
Gagn15a,2015ApJ...798...73G,Gagne:2015ij,Gagné et al. (2015a),BANYAN. V. A Systematic All-sky Survey for New Very Late-type Low-mass Stars and Brown Dwarfs in Nearby Young Moving Groups
Gagn15b,2015ApJ...808L..20G,Gagne:2015kf,Gagné et al. (2015b),SDSS J111010.01+011613.1: A New Planetary-mass T Dwarf Member of the AB Doradus Moving Group
Gagn15c,2015ApJS..219...33G,Gagne:2015dc,Gagné et al. (2015c),BANYAN. VII. A New Population of Young Substellar Candidate Members of Nearby Moving Groups from the BASS Survey
Gagn17a,2017ApJS..228...18G,Gagne:2017gy,Gagné et al. (2017a),BANYAN. IX. The Initial Mass Function and Planetary-mass Object Space Density of the TW HYA Association
Gagn17b,2017ApJ...841L...1G,Gagne:2017bl,Gagné et al. (2017b),SIMP J013656.5+093347 Is Likely a Planetary-mass Object in the Carina-Near Moving Group
Gagn18a,2018ApJ...854L..27G,Gagne:2018dk,Gagné et al. (2018a),2MASS J13243553+6358281 Is an Early T-type Planetary-mass Object in the AB Doradus Moving Group
Gagn18b,2018RNAAS...2...17G,Gagne:2018dq,Gagné Gonzales & Faherty (2018),A Gaia DR2 Confirmation that 2MASS J12074836-3900043 is a Member of the TW HYA Association
Gagn18c,2018ApJ...862..138G,Gagne:2018cz,Gagné & Faherty (2018),BANYAN. XIII. A First Look at Nearby Young Associations with Gaia Data Release 2
Gaia18,2018A&A...616A...1G,GaiaCollaboration:2018io,Gaia Collaboration et al. (2018),Gaia Data Release 2. Summary of the contents and survey properties
Galv14,2014MNRAS.439.3890G,GalvezOrtiz:2014jb,Gálvez-Ortiz et al. (2014),Spectroscopic signatures of youth in low-mass kinematic candidates of young moving groups
Garc15,2015ApJ...804...65G,Garcia:2015dr,Garcia et al. (2015),On the Binary Frequency of the Lowest Mass Members of the Pleiades with Hubble Space Telescope Wide Field Camera 3
Garc17a,2017ApJ...834..162G,Garcia:2017dk,Garcia et al. (2017a),SCExAO and GPI Y JHBand Photometry and Integral Field Spectroscopy of the Young Brown Dwarf Companion to HD 1160
Garc17b,2017ApJ...846...97G,Garcia:2017iz,Garcia et al. (2017b),"Individual, Model-independent Masses of the Closest Known Brown Dwarf Binary to the Sun"
