code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Tinn98a,1998MNRAS.296L..42T,Tinney:1998dr,Tinney (1998),The intermediate-age brown dwarf LP944-20
Tinn98b,1998A&A...338.1066T,Tinney:1998tz,Tinney et al. (1998),Optical spectroscopy of DENIS mini-survey brown dwarf candidates
Todo10,2010ApJ...714L..84T,Todorov:2010cn,Todorov et al. (2010),Discovery of a Planetary-mass Companion to a Brown Dwarf in Taurus
Todo14,2014ApJ...788...40T,Todorov:2014fq,Todorov et al. (2014),A Search for Companions to Brown Dwarfs in the Taurus and Chamaeleon Star-Forming Regions
Tria20,2020NatAs.tmp...43T,Triaud:2020im,Triaud et al. (2020),An eclipsing substellar binary in a young triple system discovered by SPECULOOS
Tsve00,2000ApJ...531L..61T,Tsvetanov:2000cg,Tsvetanov et al. (2000),The Discovery of a Second Field Methane Brown Dwarf from Sloan Digital Sky Survey Commissioning Data
VanA95,1995gcts.book.....V,vanAltena:1995vg,van Altena Lee & Hoffleit (1995),The general catalogue of trigonometric [stellar] parallaxes
VanB61,1961AJ.....66..528V,vanBiesbroeck:1961cw,van Biesbroeck (1961),A search for Stars of Low Luminosity .
VanL07,2007A&A...474..653V,vanLeeuwen:2007dc,van Leeuwen (2007),Validation of the new Hipparcos reduction
Viga12,2012A&A...544A...9V,Vigan:2012jm,Vigan et al. (2012),The International Deep Planet Survey. I. The frequency of wide-orbit massive planets around A-stars
Vrba04,2004AJ....127.2948V,Vrba:2004ee,Vrba et al. (2004),Preliminary Parallaxes of 40 L and T Dwarfs from the US Naval Observatory Infrared Astrometry Program
Wagn18,2018ApJ...863L...8W,Wagner:2018hw,Wagner et al. (2018),Magellan Adaptive Optics Imaging of PDS 70: Measuring the Mass Accretion Rate of a Young Giant Planet within a Gapped Disk
Wahh11,2011ApJ...729..139W,Wahhaj:2011by,Wahhaj et al. (2011),The Gemini NICI Planet-finding Campaign: Discovery of a Substellar L Dwarf Companion to the Nearby Young M Dwarf CD-35 2722
Wang14,2014PASP..126...15W,Wang:2014fe,Wang et al. (2014),Parallaxes of Five L Dwarfs with a Robotic Telescope
Wang20,2020AJ....159..263W,Wang:2020jb,Wang et al. (2020),Keck/NIRC2 L'-band Imaging of Jovian-mass Accreting Protoplanets around PDS 70
Warr07a,2007MNRAS.375..213W,Warren:2007bz,Warren et al. (2007a),The United Kingdom Infrared Telescope Infrared Deep Sky Survey First Data Release
Warr07b,2007MNRAS.381.1400W,Warren:2007kw,Warren et al. (2007b),A very cool brown dwarf in UKIDSS DR1
Webb99,1999ApJ...512L..63W,Webb:1999kf,Webb et al. (1999),Discovery of Seven T Tauri Stars and a Brown Dwarf Candidatein the Nearby TW Hydrae Association
Wein13,2013ApJ...762..118W,Weinberger:2013gk,Weinberger et al. (2013),Distance and Kinematics of the TW Hydrae Association from Parallaxes
Wein16,2016AJ....152...24W,Weinberger:2016gy,Weinberger et al. (2016),"Trigonometric Parallaxes and Proper Motions of 134 Southern Late M, L, and T Dwarfs from the Carnegie Astrometric Planet Search Program"
West08a,2008AJ....135..785W,West:2008eq,West et al. (2008),Constraining the Age-Activity Relation for Cool Stars: The Sloan Digital Sky Survey Data Release 5 Low-Mass Star Spectroscopic Sample
West11,2011AJ....141...97W,West:2011dx,West et al. (2011),The Sloan Digital Sky Survey Data Release 7 Spectroscopic M Dwarf Catalog. I. Data
West15,2015ApJ...812....3W,West:2015dd,West et al. (2015),An Activity-Rotation Relationship and Kinematic Analysis of Nearby Mid-to-Late-Type M Dwarfs
Wils01b,2001AJ....122.1989W,Wilson:2001db,Wilson et al. (2001b),"Three Wide-Separation L Dwarf Companions from the Two Micron All Sky Survey: Gliese 337C, Gliese 618.1B, and HD 89744B"
Wils03,2003IAUS..211..197W,Wilson:2003tk,Wilson et al. (2003),New M and L Dwarfs Confirmed with CorMASS
Wint17,2017AJ....153...14W,Winters:2017er,Winters et al. (2016),The Solar Neighborhood XXXVIII. Results from the CTIO/SMARTS 0.9m: Trigonometric Parallaxes for 151 Nearby M Dwarf Systems
Wint19,2019AJ....157..216W ,Winters:2019jm,Winters et al. (2019),The Solar Neighborhood. XLV. The Stellar Multiplicity Rate of M Dwarfs Within 25 pc 
Wrig13,2013AJ....145...84W,Wright:2013bo,Wright et al. (2013),A T8.5 Brown Dwarf Member of the {ensuremath{xi}} Ursae Majoris System
Wrig14b,2014AJ....148...82W,Wright:2014hr,Wright et al. (2014b),NEOWISE-R Observation of the Coolest Known Brown Dwarf
Wu__15a,2015ApJ...801....4W,Wu:2015wi,Wu et al. (2015),New Extinction and Mass Estimates from Optical Photometry of the Very Low Mass Brown Dwarf Companion CT Chamaeleontis B with the Magellan AO System
Wu__15b,2015ApJ...807L..13W,Wu:2015cz,Wu et al. (2015),New extinction and mass estimates of the low-mass companion 1RXS 1609 b with the Magellan AO system: evidence of an inclined dust disk.
Wu__16,2016ApJ...823...24W,Wu:2016jh,Wu et al. (2016),"Magellan AO System z′, Y S , and L′ Observations of the Very Wide 650 AU HD 106906 Planetary System"
Wu__17,2017ApJ...836..223W,,Wu et al. (2017),An ALMA and MagAO Study of the Substellar Companion GQ Lup B
Zach03,2003yCat.1289....0Z,Zacharias:2003tj,Zacharias et al. (2003),UCAC2 Catalogue (Zacharias+ 2004)
Zach05,2005yCat.1297....0Z,Zacharias:2005tx,Zacharias et al. (2005),VizieR Online Data Catalog: NOMAD Catalog (Zacharias+ 2005)
Zach09,2009yCat.1315....0Z,Zacharias:2009tf,Zacharias et al. (2009),UCAC3 Catalogue (Zacharias+ 2009)
Zach10,2010AJ....139.2184Z,Zacharias:2010kx,Zacharias et al. (2010),The Third US Naval Observatory CCD Astrograph Catalog (UCAC3)
Zach13,2013AJ....145...44Z,Zacharias:2013cf,Zacharias et al. (2013),The Fourth US Naval Observatory CCD Astrograph Catalog (UCAC4)
Zach15,2015AJ....150..101Z,Zacharias:2015ep,Zacharias et al. (2015),The First U.S. Naval Observatory Robotic Astrometric Telescope Catalog
Zapa00,2000Sci...290..103Z,ZapateroOsorio:2000ds,Zapatero Osorio et al. (2000),"Discovery of Young, Isolated Planetary Mass Objects in the {ensuremath{sigma}} Orionis Star Cluster"
Zapa02c,2002ApJ...578..536Z,ZapateroOsorio:2002en,Zapatero Osorio et al. (2002c),"A Methane, Isolated, Planetary-Mass Object in Orion"
Zapa04b,2004ApJ...615..958Z,ZapateroOsorio:2004jb,Zapatero Osorio et al. (2004),Dynamical Masses of the Binary Brown Dwarf GJ 569 Bab
Zapa08,2008A&A...477..895Z,ZapateroOsorio:2008ij,Zapatero Osorio et al. (2008),New constraints on the membership of the T dwarf S Ori 70 in the {ensuremath{sigma}} Orionis cluster
Zapa10,2010ApJ...715.1408Z,ZapateroOsorio:2010jm,Zapatero Osorio et al. (2010),Infrared and Kinematic Properties of the Substellar Object G 196-3 B
Zapa14a,2014A&A...568A...6Z,ZapateroOsorio:2014cu,Zapatero Osorio et al. (2014a),Trigonometric parallaxes of young field L dwarfs
Zapa99a,1999A&AS..134..537Z,ZapateroOsorio:1999id,Zapatero Osorio et al. (1999a),Brown dwarfs in the Pleiades cluster. III. A deep IZ survey
Zapa99b,1999ApJ...524L.115Z,ZapateroOsorio:1999iu,Zapatero Osorio et al. (1999b),An L-Type Substellar Object in Orion: Reaching the Mass Boundary between Brown Dwarfs and Giant Planets
Zhan09,2009A&A...497..619Z,Zhang:2009kw,Zhang et al. (2009),"Ultra-cool dwarfs: new discoveries, proper motions, and improved spectral typing from SDSS and 2MASS photometric colors"
Zhan10,2010MNRAS.404.1817Z,Zhang:2010bq,Zhang et al. (2010),Discovery of the first wide L dwarf + giant binary system and eight other ultracool dwarfs in wide binaries
Zhan13,2013MNRAS.434.1005Z,Zhang:2013kq,Zhang et al. (2013),A spectroscopic and proper motion search of Sloan Digital Sky Survey: red subdwarfs in binary systems
Zhan17a,2017MNRAS.464.3040Z,Zhang:2017cu,Zhang et al. (2017a),"Primeval very low-mass stars and brown dwarfs - I. Six new L subdwarfs, classification and atmospheric properties"
Zhan19a,2019MNRAS.486.1840Z,Zhang:2019ju,Zhang Burgasser & Smith (2019),Primeval very low-mass stars and brown dwarfs - V. A halo L3 subdwarf with prograde eccentric orbit in the Galactic plane
Zhan19b,2019MNRAS.486.1260Z,Zhang:2019ey,Zhang et al. (2019),Primeval very low-mass stars and brown dwarfs - VI. Population properties of metal-poor degenerate brown dwarfs
Zhan19c,2019MNRAS.489.1423Z,Zhang:2019jf,Zhang (2019),Primeval very low-mass stars and brown dwarfs - VII. The discovery of the first wide M + L extreme subdwarf binary
Zhou14,2014ApJ...783L..17Z,Zhou:2014ct,Zhou et al. (2014),Accretion onto planetary mass companions of low-mass young stars.
Zhou20,2020AJ....159..140Z,Zhou:2020iy,Zhou et al. (2020),Cloud Atlas: High-precision HST/WFC3/IR Time-Resolved Observations of Directly-Imaged Exoplanet HD106906b
Zuck06,2006ApJ...649L.115Z,Zuckerman:2006ke,Zuckerman et al. (2006),The Carina-Near Moving Group
Zuck92a,1992ApJ...386..260Z,Zuckerman:1992bn,Zuckerman & Becklin (1992),Companions to White Dwarfs: Very Low Mass Stars and the Brown Dwarf Candidate GD 165B
