name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
DENIS J0031192-384035,7.8304,-38.6767,2MASS J00311925-3840356|DENIS J003119.2-384035|SIPS J0031-3840|TIC 116418167|WISEA J003119.78-384036.3|WISEP J003119.76-384036.4|WISE J003119.76-384036.1|EQ J0031-3840|Gaia DR3 4997505546262260096|Gaia DR2 4997505546262260096
PSO J007.9194+33.5961,7.9195,33.5961,2MASS J00314067+3335459|PSO J007.9194+33.5961|TIC 239551541|WISEA J003140.64+333545.8|WISE J003140.64+333545.9
2MASS J00315477+0649463,7.9782,6.8296,LSPM J0031+0649|2MASS J00315477+0649463|2MUCD 20024|TIC 468360270|USNO-B1.0 0968-00005427|Gaia DR2 2747910730136768768|Gaia DR3 2747910730136768768
2MASS J00320509+0219017,8.0212,2.3172,2MASS J00320509+0219017|TIC 257329964|ULAS J003205.34+021858.6|WISEA J003205.37+021858.2|Gaia DR2 2547532539925750784|Gaia DR3 2547532539925750784
WISE J003231.09-494651.4,8.1309,-49.7784,WISEA J003231.06-494651.9|WISE J003231.09-494651.4
2MASSI J0032431-223727,8.1796,-22.6242,2MASS J00324308-2237272|2MASSI J0032430-223727|2MASSI J0032431-223727|TIC 98590424|Gaia DR2 2348571890789987456|Gaia DR3 2348571890789987456
EROS-MP J0032-4405,8.2327,-44.0849,2MASS J00325584-4405058|DENIS J003255.8-440505|EROS-MP J0032-4405|TIC 80316008|WISEA J003255.97-440506.7|EQ J0032-4405|Gaia DR3 4980384088633481216|Gaia DR2 4980384088633481216
SDSSp J003259.36+141036.6,8.2473,14.1769,2MASS J00325937+1410371|BRLT 10|SDSS J003259.36+141036.6|TIC 414806213|ULAS J003259.51+141037.1|ULAS J003259.51+141037.2|WISEA J003259.57+141037.0|WISE J003259.56+141037.2
2MASS J00332386-1521309,8.3495,-15.3586,2MASS J00332386-1521309|DENIS J003323.8-152130|2MASSW J0033239-152131|TIC 136847402|WISE J003324.08-152130.5|Gaia DR2 2373841073178592512|Gaia DR3 2373841073178592512
WISEA J003338.45+282732.4,8.4111,28.4597,2MASS J00333870+2827351|SDSS J003338.46+282732.8|TIC 440680768|WISEA J003338.45+282732.4|WISE J003338.45+282732.6|Gaia DR3 2857671063218290816|Gaia DR2 2857671063218290816
ULAS J003402.77-005206.7,8.5118,-0.8679,CFBDS J003402-005206|CFBDS J003402.77-005206.7|CFBDS J003402-005205|ULAS J003402.77-005206.7|ULAS J003402.77-005206.8|WISEA J003402.79-005208.2|WISEP J003402.80-005207.4|WISE J003402.78-005208.1
2MASS J00344300-4102266,8.6792,-41.0407,2MASS J00344300-4102266|TIC 116881528|WISEA J003443.10-410227.2|WISE J003443.09-410227.1|Gaia DR2 4993984390339643264|Gaia DR3 4993984390339643264
