# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
WISEA J020201.25-313645.2 W4,only upper error
SDSS J020333.26-010812.5 W3,only upper error
SDSS J020333.26-010812.5 W4,only upper error
ULAS J020336.94-010231.1 W3,only upper error
ULAS J020336.94-010231.1 W4,only upper error
HSC J020421.81-024421.1 W3,only upper error
HSC J020421.81-024421.1 W4,only upper error
2MASS J02042212-3632308 W4,only upper error
2MASSW J0205034+125142 W4,only upper error
DENIS J020529.0-115925 W4,only upper error
ULAS J020529.62+142114.0 W3,only upper error
ULAS J020529.62+142114.0 W4,only upper error
ULAS J020533.75+123824.1 W3,only upper error
ULAS J020533.75+123824.1 W4,only upper error
SDSS J020551.36-075925.0 W3,only upper error
SDSS J020551.36-075925.0 W4,only upper error
ULAS J020604.27+054958.8 W3,only upper error
ULAS J020604.27+054958.8 W4,only upper error
SDSS J020608.97+223559.2 W3,only upper error
SDSS J020608.97+223559.2 W4,only upper error
PSO J031.5651+20.9097 W3,only upper error
PSO J031.5651+20.9097 W4,only upper error
WISEPA J020625.26+264023.6 W4,only upper error
SDSS J020735.60+135556.3 W3,only upper error
SDSS J020735.60+135556.3 W4,only upper error
SDSS J020742.48+000056.2 W3,only upper error
SDSS J020742.48+000056.2 W4,only upper error
2MASSW J0208183+254253 W3,only upper error
2MASSW J0208183+254253 W4,only upper error
2MASSW J0208236+273740 W4,only upper error
PSO J032.2211+67.4179 W3,only upper error
PSO J032.2211+67.4179 W4,only upper error
2MASSW J0208549+250048 W3,only upper error
2MASSW J0208549+250048 W4,only upper error
WISE J021010.25+400829.6 W3,only upper error
WISE J021010.25+400829.6 W4,only upper error
2MASS J02103857-3015313 W4,only upper error
SDSS J021128.25+141003.8 W3,only upper error
SDSS J021128.25+141003.8 W4,only upper error
HD 13724 B,missing wise designation name
HD 13724 B,missing proper motion values
HD 13724 B W1,only upper error
HD 13724 B W2,only upper error
HD 13724 B W3,only upper error
HD 13724 B W4,only upper error
SDSS J021248.51+221822.0 W3,only upper error
SDSS J021248.51+221822.0 W4,only upper error
PSO J033.2936+20.4493 W3,only upper error
PSO J033.2936+20.4493 W4,only upper error
2MASS J02132062+3648506C,missing wise designation name
2MASS J02132062+3648506C,missing proper motion values
2MASS J02132062+3648506C W3,only upper error
2MASS J02132062+3648506C W4,only upper error
2MASSI J0213288+444445 W4,only upper error
ULAS J021642.97+004005.6 W3,only upper error
ULAS J021642.97+004005.6 W4,only upper error
2MASSI J0218291-313322 W4,only upper error
2MASS J02185792-0617499 W4,only upper error
2MASS J02192196+0506306 W4,only upper error
2MASS J02192210-3925225A W4,only upper error
2MASS J02192210-3925225B,missing wise designation name
2MASS J02192210-3925225B,missing proper motion values
2MASS J02192210-3925225B W1,only upper error
2MASS J02192210-3925225B W2,only upper error
2MASS J02192210-3925225B W3,only upper error
2MASS J02192210-3925225B W4,only upper error
SSSPM J0219-1939 W4,only upper error
WISEPA J022105.94+384202.9 W3,only upper error
WISEPA J022105.94+384202.9 W4,only upper error
2MASS J02212859-6831400 W4,only upper error
2MASS J02215494-5412054 W4,only upper error
WISEPC J022322.39-293258.1 W4,only upper error
PSO J035.8683-15.1937 W4,only upper error
HIP 11161B W3,only upper error
HIP 11161B W4,only upper error
2MASS J02235464-5815067 W4,only upper error
DENIS J0224120-763320 W4,only upper error
2MASSI J0224367+253704 W3,only upper error
2MASSI J0224367+253704 W4,only upper error
2MASS J02251947-5837295 W4,only upper error
ULAS J022603.18+070231.4 W3,only upper error
ULAS J022603.18+070231.4 W4,only upper error
WISEPA J022623.98-021142.8 W3,only upper error
WISEPA J022623.98-021142.8 W4,only upper error
CFBDS J022644.65-062522.0,missing wise designation name
CFBDS J022644.65-062522.0,missing proper motion values
CFBDS J022644.65-062522.0 W1,only upper error
CFBDS J022644.65-062522.0 W2,only upper error
CFBDS J022644.65-062522.0 W3,only upper error
CFBDS J022644.65-062522.0 W4,only upper error
2MASS J02271036-1624479 W4,only upper error
SDSS J022723.77-005518.6 W3,only upper error
SDSS J022723.77-005518.6 W4,only upper error
SDSS J022754.95+002619.9 W3,only upper error
SDSS J022754.95+002619.9 W4,only upper error
2MASSW J0228110+253738 W4,only upper error
2MASS J02283305+1811097 W4,only upper error
2MASS J02284355-6325052 W4,only upper error
2MASS J02292794-0053282 W3,only upper error
2MASS J02292794-0053282 W4,only upper error
PSO J037.4616+17.2761 W3,only upper error
PSO J037.4616+17.2761 W4,only upper error
2MASS J02301551+2704061 W4,only upper error
WISE J023038.90-022554.0 W4,only upper error
2MASS J02304442-3027275 W4,only upper error
DENIS J0230450-095305 W4,only upper error
2MASS J02330145-6403420 W3,only upper error
2MASS J02330145-6403420 W4,only upper error
WISE J023318.05+303030.5 W3,only upper error
WISE J023318.05+303030.5 W4,only upper error
NLTT 8245B,missing wise designation name
NLTT 8245B,missing proper motion values
NLTT 8245B W1,only upper error
NLTT 8245B W2,only upper error
