source,access_url,regime,telescope,instrument,mode,observation_date,comments,reference
ULAS_J233227.03+123452.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J233227.03+123452.0_M6_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-08-09T01:56:40.061000,,Zhan18.1352
ULAS_J233227.03+123452.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J233227.03+123452.0_L6p+T4p_Xshooter_NIR_Primeval-IV.fits,nir,ESO VLT,XShooter,Echelle,2015-09-10T04:48:51.811000,,Zhan18.1352
ULAS_J231924.35+052524.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231924.35+052524.5_esdL1_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-07T02:44:26.635000,,Zhan18.1352
ULAS_J143517.18-014713.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J143517.18-014713.1_sdM9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-09T03:42:04.479000,,Zhan18.1352
ULAS_J021258.08+064115.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J021258.08+064115.9_sdL1_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-09-02T04:36:59.908000,,Zhan18.1352
ULAS_J223123.44+010025.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223123.44+010025.1_M6_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-14T04:56:58.345000,,Zhan18.1352
ULAS_J151649.84+083607.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J151649.84+083607.1_sdL5_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-25T22:23:57.653000,,Zhan18.1352
ULAS_J125938.50+301500.2,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J125938.50+301500.2_M9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-09T02:43:42.021000,,Zhan18.1352
2MASS_J06164006-6407194,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06164006-6407194_esdL6_Xshooter_VIS_Primeval-I.fits,optical,ESO VLT,XShooter,Echelle,2016-01-24T02:58:20.682000,,Zhan18.1352
2MASS_J06453153-6646120,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06453153-6646120_sdL8_Xshooter_NIR_Primeval-IV.fits,nir,ESO VLT,XShooter,Echelle,2016-02-19T00:57:33.299300,,Zhan18.1352
ULAS_J111429.54+072809.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J111429.54+072809.5_esdL0_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-01-18T06:39:19.663000,,Zhan18.1352
ULAS_J135359.58+011856.7,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J135359.58+011856.7_sdL0_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-28T21:36:00.191000,,Zhan18.1352
ULAS_J223302.03+062030.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223302.03+062030.8_esdL0.5_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-09-03T01:47:29.948000,,Zhan18.1352
ULAS_J230256.53+121310.2,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J230256.53+121310.2_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-19T03:19:42.776000,,Zhan18.1352
ULAS_J144151.55+043738.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J144151.55+043738.5_sdL4_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-19T21:56:10.501000,,Zhan18.1352
ULAS_J134852.93+101611.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J134852.93+101611.8_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-03-20T05:57:04.268000,,Zhan18.1352
2MASS_J06164006-6407194,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06164006-6407194_esdL6_Xshooter_NIR_Primeval-I.fits,nir,ESO VLT,XShooter,Echelle,2016-01-24T02:58:23.940800,,Zhan18.1352
ULAS_J075335.23+200622.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J075335.23+200622.4_sdL0_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-12-07T06:03:41.304000,,Zhan18.1352
